ENSSSCG00000000660	A2M	2
ENSSSCG00000000661	PHC1	106
ENSSSCG00000000663	KLRG1	0
ENSSSCG00000000664	A2ML1	0
ENSSSCG00000000665	RIMKLB	258
ENSSSCG00000000667	AICDA	0
ENSSSCG00000000668	APOBEC1	0
ENSSSCG00000000669	GDF3	0
ENSSSCG00000000672	CLSTN3	5
ENSSSCG00000000679	LRRC23	3
ENSSSCG00000000680	GPR162	26
ENSSSCG00000000681	P3H3	1316
ENSSSCG00000000682	GNB3	11
ENSSSCG00000000683	CDCA3	31
ENSSSCG00000000684	USP5	2455
ENSSSCG00000000685	TPI1	29068
ENSSSCG00000000687	CD4	0
ENSSSCG00000000688	LAG3	7
ENSSSCG00000000690	MLF2	7070
ENSSSCG00000000691	COPS7A	1831
ENSSSCG00000000692	PIANP	19
ENSSSCG00000000693	NCAPD2	133
ENSSSCG00000000694	GAPDH	72940
ENSSSCG00000000695	IFFO1	136
ENSSSCG00000000696		3693
ENSSSCG00000000697		2499
ENSSSCG00000000699	LPAR5	8
ENSSSCG00000000700	ACRBP	427
ENSSSCG00000000702	ZNF384	737
ENSSSCG00000000703		25
ENSSSCG00000000704	TAPBPL	250
ENSSSCG00000000705	CD27	257
ENSSSCG00000000706	LTBR	1153
ENSSSCG00000000707	SCNN1A	0
ENSSSCG00000000708	TNFRSF1A	758
ENSSSCG00000000709	PLEKHG6	1
ENSSSCG00000000712	VWF	3
ENSSSCG00000000716	KCNA1	4
ENSSSCG00000000718		0
ENSSSCG00000000719	NDUFA9	4086
ENSSSCG00000000720	AKAP3	125
ENSSSCG00000000721	DYRK4	26
ENSSSCG00000000722	RAD51AP1	25
ENSSSCG00000000723	C12orf4	1267
ENSSSCG00000000728	PARP11	216
ENSSSCG00000000730	PRMT8	5
ENSSSCG00000000732	CRACR2A	214
ENSSSCG00000000734	TSPAN11	388
ENSSSCG00000000735	TSPAN9	42
ENSSSCG00000000736	TEAD4	133
ENSSSCG00000000737	TULP3	1396
ENSSSCG00000000738	RHNO1	93
ENSSSCG00000000739	FOXM1	14
ENSSSCG00000000740	TEX52	6
ENSSSCG00000000741	NRIP2	0
ENSSSCG00000000742	ITFG2	91
ENSSSCG00000000743	FKBP4	2192
ENSSSCG00000000744		12
ENSSSCG00000000745	DDX11	425
ENSSSCG00000000746	WASHC1	243
ENSSSCG00000000748	IQSEC3	0
ENSSSCG00000000749	SLC6A12	39
ENSSSCG00000000751	CCDC77	79
ENSSSCG00000000753	WNK1	423
ENSSSCG00000000754	RAD52	260
ENSSSCG00000000755	ERC1	2641
ENSSSCG00000000757	ADIPOR2	380
ENSSSCG00000000759	WNT5B	2143
ENSSSCG00000000760	LRTM2	0
ENSSSCG00000000764	HDHD5	198
ENSSSCG00000000765	IL17RA	3747
ENSSSCG00000000766	CECR2	10
ENSSSCG00000000767	ATP6V1E1	5162
ENSSSCG00000000769		919
ENSSSCG00000000770	MICAL3	530
ENSSSCG00000000774	USP18	1998
ENSSSCG00000000777		0
ENSSSCG00000000778	CPNE8	0
ENSSSCG00000000779	KIF21A	47
ENSSSCG00000000781	ABCD2	3
ENSSSCG00000000782	C12orf40	0
ENSSSCG00000000783	SLC2A13	2890
ENSSSCG00000000784	LRRK2	891
ENSSSCG00000000789	CNTN1	2
ENSSSCG00000000791	PDZRN4	0
ENSSSCG00000000793	PPHLN1	5064
ENSSSCG00000000795	ADAMTS20	30
ENSSSCG00000000798	TWF1	6282
ENSSSCG00000000799	IRAK4	1434
ENSSSCG00000000800	PUS7L	1012
ENSSSCG00000000801	TMEM117	107
ENSSSCG00000000802	NELL2	1
ENSSSCG00000000804	ANO6	7990
ENSSSCG00000000806	SCAF11	3387
ENSSSCG00000000807		5897
ENSSSCG00000000808	SLC38A2	45150
ENSSSCG00000000810	AMIGO2	601
ENSSSCG00000000811	PCED1B	31
ENSSSCG00000000816	SENP1	117
ENSSSCG00000000820	H1FNT	0
ENSSSCG00000000837	CHST11	1331
ENSSSCG00000000838	SLC41A2	4628
ENSSSCG00000000839	ALDH1L2	4307
ENSSSCG00000000840	WASHC4	3888
ENSSSCG00000000841	APPL2	1665
ENSSSCG00000000842	KANSL2	2698
ENSSSCG00000000843	TXNRD1	35593
ENSSSCG00000000844	NFYB	1294
ENSSSCG00000000846	HCFC2	1626
ENSSSCG00000000847	TDG	2055
ENSSSCG00000000848	GLT8D2	863
ENSSSCG00000000849	HSP90B1	17732
ENSSSCG00000000853	NT5DC3	69
ENSSSCG00000000854		0
ENSSSCG00000000856	PAH	12
ENSSSCG00000000857	IGF1	1054
ENSSSCG00000000858	PMCH	85
ENSSSCG00000000859	PARPBP	276
ENSSSCG00000000860	NUP37	234
ENSSSCG00000000862	GNPTAB	5819
ENSSSCG00000000863	SYCP3	295
ENSSSCG00000000864	CHPT1	2343
ENSSSCG00000000866	MYBPC1	0
ENSSSCG00000000867	SPIC	10
ENSSSCG00000000869	UTP20	1094
ENSSSCG00000000870	ARL1	7919
ENSSSCG00000000871	SLC5A8	0
ENSSSCG00000000873	ANO4	35
ENSSSCG00000000874	GAS2L3	77
ENSSSCG00000000875	NR1H4	0
ENSSSCG00000000877	SCYL2	709
ENSSSCG00000000883		8
ENSSSCG00000000884	APAF1	2430
ENSSSCG00000000886	SLC25A3	9307
ENSSSCG00000000887		444
ENSSSCG00000000890	NEDD1	2322
ENSSSCG00000000891	LTA4H	4429
ENSSSCG00000000892	HAL	0
ENSSSCG00000000893	AMDHD1	1
ENSSSCG00000000894	CCDC38	611
ENSSSCG00000000895	SNRPF	748
ENSSSCG00000000896	NTN4	768
ENSSSCG00000000900	VEZT	831
ENSSSCG00000000901	FGD6	97
ENSSSCG00000000902	NR2C1	459
ENSSSCG00000000905		866
ENSSSCG00000000906	TMCC3	1
ENSSSCG00000000907	PLXNC1	102
ENSSSCG00000000908	UBE2NL	7915
ENSSSCG00000000910	CRADD	1162
ENSSSCG00000000915	DCN	3265
ENSSSCG00000000916	LUM	10346
ENSSSCG00000000917	KERA	11
ENSSSCG00000000918	EPYC	0
ENSSSCG00000000920	POC1B	467
ENSSSCG00000000924	C12orf50	12
ENSSSCG00000000925	C12orf29	1000
ENSSSCG00000000926	CEP290	403
ENSSSCG00000000927	TMTC3	1611
ENSSSCG00000000932	NTS	1
ENSSSCG00000000934	LRRIQ1	43
